"geo_label_citystate","strata_race_label","strata_sex_label","All Cancer Deaths","Lung Cancer Deaths","Colorectal Cancer Deaths","Cardiovascular Disease Deaths","Heart Disease Deaths","Diabetes Deaths","Deaths from All Causes","Premature Death","Life Expectancy","Gun Deaths (Firearms)","Injury Deaths","Motor Vehicle Deaths","Homicides","Pneumonia or Influenza Deaths","HIV-Related Deaths","COVID-19 Deaths","Opioid Overdose Deaths","Suicide","Drug Overdose Deaths"
"Las Vegas, NV","White","Male",181.7499186,37.76385905,16.59675568,339.9473387,281.2520107,29.16218935,1079.335771,10235.75472,74.16521659,28.91473787,154.8053292,18.87055136,6.314150134,21.98617508,1.908856607,18.28066876,42.65537904,39.67106712,63.31661837
"Denver, CO","Hispanic","Female",125.3096539,18.56729197,13.68576068,153.2362106,103.0787169,29.95302974,695.8139727,5087.995096,81.40440046,0,73.98785865,9.078602124,0,9.142583485,0,17.55333089,17.11171053,7.78704589,27.96645083
"Cleveland, OH","Hispanic","Female",156.9868345,0,0,0,0,0,0,5510.779762,0,0,79.08930435,0,0,0,0,0,31.50204163,0,31.50204163
"Cleveland, OH","White","Female",154.3364246,47.71543107,10.63927799,219.4900539,171.7603106,19.6730363,858.7544071,9762.653647,77.09094257,0,123.7388639,0,0,14.9646863,0,11.16031101,76.12787559,7.919564548,91.67160432
"Memphis, TN","Black","Female",168.2034139,26.47974235,17.58487912,291.515019,193.2642077,42.45045578,986.9273015,12506.74518,73.58236973,18.1553056,106.0107981,23.90412065,20.27687906,13.36650778,5.338958841,16.48623852,36.08004632,2.700924021,43.36033779
"Denver, CO","Black","Male",199.3281399,32.66550878,16.67822041,394.8817446,281.7023497,74.92392993,1464.716708,20274.97989,65.83786081,109.3554563,333.8134988,33.06734643,90.5983285,0,0,0,80.4709908,43.25104843,120.0500407
"Kansas City, MO","Black","Male",249.6837514,55.34318984,25.85249634,392.4430827,312.1370692,59.03390187,1495.020781,22986.15902,64.45612362,164.7685853,342.4421105,33.3984066,156.009804,21.50615763,9.514151037,0,65.34828751,25.81599408,103.5267187
"Louisville, KY","Black","Male",285.8084123,69.90175654,25.82207285,513.966493,409.377653,63.92510561,1912.450267,25352.60956,62.57531468,132.5196763,396.899872,42.22969472,116.6169171,17.44202453,8.275294367,0,150.4438954,32.12513522,175.4391799
"Houston, TX","Hispanic","Male",146.7914605,18.27496265,15.10074827,227.1823111,168.8754519,38.24156914,861.6556038,9667.310888,76.6518877,32.1188243,126.0426436,24.35527316,23.4995654,15.40520366,4.671499908,14.66057265,15.60095485,16.79195636,25.98812937
"New York City, NY","Asian/PI","Female",74.30525187,14.00855645,7.453092501,113.1869031,85.86225459,10.50529445,324.7188997,1966.013515,91.32071875,0,16.98055456,2.420383464,0,9.070870177,0,6.552302025,0.994389048,4.339762653,2.590546918
